Results of Photometric1A

Plate	Well	Type	Group	Sample	Meas. time [s]	Abs	Wavelength	
1	 B02	Unknown	Assay	Sce_0010 1/6	0	0,127743	750	
1	 B02	Unknown	Assay	Sce_0010 1/6	0,18	0,177547	682	
1	 C02	Unknown	Assay	Sce_0010 2/6	0,48	0,119934	750	
1	 C02	Unknown	Assay	Sce_0010 2/6	0,66	0,169711	682	
1	 D02	Unknown	Assay	Sce_0010 3/6	0,96	0,153395	750	
1	 D02	Unknown	Assay	Sce_0010 3/6	1,13	0,212106	682	
1	 E02	Unknown	Assay	Sce_0010 4/6	1,44	0,247663	750	
1	 E02	Unknown	Assay	Sce_0010 4/6	1,61	0,394799	682	
1	 F02	Unknown	Assay	Sce_0010 5/6	1,91	0,169434	750	
1	 F02	Unknown	Assay	Sce_0010 5/6	2,09	0,243331	682	
1	 G02	Unknown	Assay	Sce_0010 6/6	2,39	0,195608	750	
1	 G02	Unknown	Assay	Sce_0010 6/6	2,56	0,294913	682	
1	 B03	Unknown	Assay	Sce_0005 1/6	3,14	0,267946	750	
1	 B03	Unknown	Assay	Sce_0005 1/6	3,31	0,403867	682	
1	 C03	Unknown	Assay	Sce_0005 2/6	3,62	0,16724	750	
1	 C03	Unknown	Assay	Sce_0005 2/6	3,79	0,243247	682	
1	 D03	Unknown	Assay	Sce_0005 3/6	4,09	0,20795	750	
1	 D03	Unknown	Assay	Sce_0005 3/6	4,27	0,319779	682	
1	 E03	Unknown	Assay	Sce_0005 4/6	4,57	0,162569	750	
1	 E03	Unknown	Assay	Sce_0005 4/6	4,75	0,230913	682	
1	 F03	Unknown	Assay	Sce_0005 5/6	5,05	0,212837	750	
1	 F03	Unknown	Assay	Sce_0005 5/6	5,22	0,322919	682	
1	 G03	Unknown	Assay	Sce_0005 6/6	5,53	0,0985959	750	
1	 G03	Unknown	Assay	Sce_0005 6/6	5,7	0,127362	682	
1	 B04	Unknown	Assay	Sce_0003 1/6	6,28	0,115743	750	
1	 B04	Unknown	Assay	Sce_0003 1/6	6,45	0,145961	682	
1	 C04	Unknown	Assay	Sce_0003 2/6	6,75	0,223301	750	
1	 C04	Unknown	Assay	Sce_0003 2/6	6,93	0,26226	682	
1	 D04	Unknown	Assay	Sce_0003 3/6	7,23	0,165479	750	
1	 D04	Unknown	Assay	Sce_0003 3/6	7,41	0,208005	682	
1	 E04	Unknown	Assay	Sce_0003 4/6	7,71	0,191575	750	
1	 E04	Unknown	Assay	Sce_0003 4/6	7,88	0,276066	682	
1	 F04	Unknown	Assay	Sce_0003 5/6	8,18	0,231325	750	
1	 F04	Unknown	Assay	Sce_0003 5/6	8,36	0,301713	682	
1	 G04	Unknown	Assay	Sce_0003 6/6	8,66	0,200992	750	
1	 G04	Unknown	Assay	Sce_0003 6/6	8,84	0,263942	682	
1	 B05	Unknown	Assay	Sce_0001 1/6	9,41	0,18588	750	
1	 B05	Unknown	Assay	Sce_0001 1/6	9,59	0,211773	682	
1	 C05	Unknown	Assay	Sce_0001 2/6	9,89	0,218274	750	
1	 C05	Unknown	Assay	Sce_0001 2/6	10,06	0,237595	682	
1	 D05	Unknown	Assay	Sce_0001 3/6	10,37	0,190109	750	
1	 D05	Unknown	Assay	Sce_0001 3/6	10,54	0,212786	682	
1	 E05	Unknown	Assay	Sce_0001 4/6	10,84	0,203035	750	
1	 E05	Unknown	Assay	Sce_0001 4/6	11,02	0,233165	682	
1	 F05	Unknown	Assay	Sce_0001 5/6	11,32	0,218902	750	
1	 F05	Unknown	Assay	Sce_0001 5/6	11,49	0,237938	682	
1	 G05	Unknown	Assay	Sce_0001 6/6	11,8	0,243593	750	
1	 G05	Unknown	Assay	Sce_0001 6/6	11,97	0,284918	682	
1	 B06	Unknown	Assay	Sce_0000 1/6	12,55	0,37023	750	
1	 B06	Unknown	Assay	Sce_0000 1/6	12,72	0,491678	682	
1	 C06	Unknown	Assay	Sce_0000 2/6	13,02	0,0988637	750	
1	 C06	Unknown	Assay	Sce_0000 2/6	13,2	0,101179	682	
1	 D06	Unknown	Assay	Sce_0000 3/6	13,5	0,103787	750	
1	 D06	Unknown	Assay	Sce_0000 3/6	13,68	0,108518	682	
1	 E06	Unknown	Assay	Sce_0000 4/6	13,98	0,0868358	750	
1	 E06	Unknown	Assay	Sce_0000 4/6	14,15	0,083873	682	
1	 F06	Unknown	Assay	Sce_0000 5/6	14,45	0,1301	750	
1	 F06	Unknown	Assay	Sce_0000 5/6	14,63	0,144253	682	
1	 G06	Unknown	Assay	Sce_0000 6/6	14,93	0,156169	750	
1	 G06	Unknown	Assay	Sce_0000 6/6	15,11	0,181215	682	
1	 B07	Unknown	Assay	Coc_0010 1/6	15,68	0,0505131	750	
1	 B07	Unknown	Assay	Coc_0010 1/6	15,86	0,0501875	682	
1	 C07	Unknown	Assay	Coc_0010 2/6	16,16	0,0532044	750	
1	 C07	Unknown	Assay	Coc_0010 2/6	16,33	0,0539178	682	
1	 D07	Unknown	Assay	Coc_0010 3/6	16,64	0,085029	750	
1	 D07	Unknown	Assay	Coc_0010 3/6	16,81	0,10288	682	
1	 E07	Unknown	Assay	Coc_0010 4/6	17,11	0,0746653	750	
1	 E07	Unknown	Assay	Coc_0010 4/6	17,29	0,0870569	682	
1	 F07	Unknown	Assay	Coc_0010 5/6	17,59	0,0943626	750	
1	 F07	Unknown	Assay	Coc_0010 5/6	17,76	0,116557	682	
1	 G07	Unknown	Assay	Coc_0010 6/6	18,07	0,0725203	750	
1	 G07	Unknown	Assay	Coc_0010 6/6	18,24	0,0819283	682	
1	 B08	Unknown	Assay	Coc_0005 1/6	18,82	0,120466	750	
1	 B08	Unknown	Assay	Coc_0005 1/6	18,99	0,142745	682	
1	 C08	Unknown	Assay	Coc_0005 2/6	19,29	0,141051	750	
1	 C08	Unknown	Assay	Coc_0005 2/6	19,47	0,180917	682	
1	 D08	Unknown	Assay	Coc_0005 3/6	19,77	0,0808347	750	
1	 D08	Unknown	Assay	Coc_0005 3/6	19,95	0,0933965	682	
1	 E08	Unknown	Assay	Coc_0005 4/6	20,25	0,0973658	750	
1	 E08	Unknown	Assay	Coc_0005 4/6	20,42	0,117061	682	
1	 F08	Unknown	Assay	Coc_0005 5/6	20,72	0,116407	750	
1	 F08	Unknown	Assay	Coc_0005 5/6	20,9	0,148344	682	
1	 G08	Unknown	Assay	Coc_0005 6/6	21,2	0,120142	750	
1	 G08	Unknown	Assay	Coc_0005 6/6	21,38	0,144908	682	
1	 B09	Unknown	Assay	Coc_0003 1/6	21,95	0,0799511	750	
1	 B09	Unknown	Assay	Coc_0003 1/6	22,13	0,0928605	682	
1	 C09	Unknown	Assay	Coc_0003 2/6	22,43	0,102876	750	
1	 C09	Unknown	Assay	Coc_0003 2/6	22,6	0,129267	682	
1	 D09	Unknown	Assay	Coc_0003 3/6	22,91	0,112205	750	
1	 D09	Unknown	Assay	Coc_0003 3/6	23,08	0,143909	682	
1	 E09	Unknown	Assay	Coc_0003 4/6	23,38	0,0968829	750	
1	 E09	Unknown	Assay	Coc_0003 4/6	23,56	0,110943	682	
1	 F09	Unknown	Assay	Coc_0003 5/6	23,86	0,0832072	750	
1	 F09	Unknown	Assay	Coc_0003 5/6	24,03	0,0951237	682	
1	 G09	Unknown	Assay	Coc_0003 6/6	24,34	0,104492	750	
1	 G09	Unknown	Assay	Coc_0003 6/6	24,51	0,138129	682	
1	 B10	Unknown	Assay	Coc_0001 1/6	25,09	0,104907	750	
1	 B10	Unknown	Assay	Coc_0001 1/6	25,26	0,129317	682	
1	 C10	Unknown	Assay	Coc_0001 2/6	25,56	0,187739	750	
1	 C10	Unknown	Assay	Coc_0001 2/6	25,74	0,232746	682	
1	 D10	Unknown	Assay	Coc_0001 3/6	26,04	0,104824	750	
1	 D10	Unknown	Assay	Coc_0001 3/6	26,22	0,125559	682	
1	 E10	Unknown	Assay	Coc_0001 4/6	26,52	0,0597538	750	
1	 E10	Unknown	Assay	Coc_0001 4/6	26,69	0,0612652	682	
1	 F10	Unknown	Assay	Coc_0001 5/6	26,99	0,0813411	750	
1	 F10	Unknown	Assay	Coc_0001 5/6	27,17	0,0941631	682	
1	 G10	Unknown	Assay	Coc_0001 6/6	27,47	0,0918657	750	
1	 G10	Unknown	Assay	Coc_0001 6/6	27,65	0,108964	682	
1	 B11	Unknown	Assay	Coc_0000 1/6	28,22	0,0763409	750	
1	 B11	Unknown	Assay	Coc_0000 1/6	28,4	0,0864639	682	
1	 C11	Unknown	Assay	Coc_0000 2/6	28,7	0,203488	750	
1	 C11	Unknown	Assay	Coc_0000 2/6	28,87	0,268687	682	
1	 D11	Unknown	Assay	Coc_0000 3/6	29,18	0,0998398	750	
1	 D11	Unknown	Assay	Coc_0000 3/6	29,35	0,119044	682	
1	 E11	Unknown	Assay	Coc_0000 4/6	29,65	0,0708355	750	
1	 E11	Unknown	Assay	Coc_0000 4/6	29,83	0,0732477	682	
1	 F11	Unknown	Assay	Coc_0000 5/6	30,13	0,133089	750	
1	 F11	Unknown	Assay	Coc_0000 5/6	30,31	0,167428	682	
1	 G11	Unknown	Assay	Coc_0000 6/6	30,61	0,121609	750	
1	 G11	Unknown	Assay	Coc_0000 6/6	30,78	0,155649	682	

