Results of Photometric1

Plate	Well	Type	Group	Sample	Meas. time [s]	Abs	Wavelength	
1	 B02	Unknown	Assay	Sce_0010 1/6	0	0,270609	750	
1	 B02	Unknown	Assay	Sce_0010 1/6	0,18	0,394824	682	
1	 C02	Unknown	Assay	Sce_0010 2/6	0,48	0,212887	750	
1	 C02	Unknown	Assay	Sce_0010 2/6	0,66	0,296267	682	
1	 D02	Unknown	Assay	Sce_0010 3/6	0,96	0,266612	750	
1	 D02	Unknown	Assay	Sce_0010 3/6	1,13	0,37052	682	
1	 E02	Unknown	Assay	Sce_0010 4/6	1,44	0,454297	750	
1	 E02	Unknown	Assay	Sce_0010 4/6	1,61	0,622472	682	
1	 F02	Unknown	Assay	Sce_0010 5/6	1,91	0,253304	750	
1	 F02	Unknown	Assay	Sce_0010 5/6	2,09	0,366958	682	
1	 G02	Unknown	Assay	Sce_0010 6/6	2,39	0,345456	750	
1	 G02	Unknown	Assay	Sce_0010 6/6	2,56	0,518079	682	
1	 B03	Unknown	Assay	Sce_0005 1/6	3,14	0,529753	750	
1	 B03	Unknown	Assay	Sce_0005 1/6	3,31	0,618107	682	
1	 C03	Unknown	Assay	Sce_0005 2/6	3,62	0,355297	750	
1	 C03	Unknown	Assay	Sce_0005 2/6	3,79	0,426458	682	
1	 D03	Unknown	Assay	Sce_0005 3/6	4,09	0,372702	750	
1	 D03	Unknown	Assay	Sce_0005 3/6	4,27	0,457051	682	
1	 E03	Unknown	Assay	Sce_0005 4/6	4,57	0,381793	750	
1	 E03	Unknown	Assay	Sce_0005 4/6	4,75	0,452451	682	
1	 F03	Unknown	Assay	Sce_0005 5/6	5,05	0,364175	750	
1	 F03	Unknown	Assay	Sce_0005 5/6	5,22	0,466415	682	
1	 G03	Unknown	Assay	Sce_0005 6/6	5,53	0,113618	750	
1	 G03	Unknown	Assay	Sce_0005 6/6	5,7	0,147622	682	
1	 B04	Unknown	Assay	Sce_0003 1/6	6,28	0,204031	750	
1	 B04	Unknown	Assay	Sce_0003 1/6	6,45	0,218113	682	
1	 C04	Unknown	Assay	Sce_0003 2/6	6,75	0,369791	750	
1	 C04	Unknown	Assay	Sce_0003 2/6	6,93	0,399745	682	
1	 D04	Unknown	Assay	Sce_0003 3/6	7,23	0,275904	750	
1	 D04	Unknown	Assay	Sce_0003 3/6	7,41	0,302467	682	
1	 E04	Unknown	Assay	Sce_0003 4/6	7,71	0,343353	750	
1	 E04	Unknown	Assay	Sce_0003 4/6	7,88	0,391837	682	
1	 F04	Unknown	Assay	Sce_0003 5/6	8,18	0,345647	750	
1	 F04	Unknown	Assay	Sce_0003 5/6	8,36	0,394968	682	
