Results of Photometric1

Plate	Well	Type	Group	Sample	Meas. time [s]	Abs	Wavelength	
1	 B02	Unknown	Assay	Sce_0010 1/6	0	0,43975	750	
1	 B02	Unknown	Assay	Sce_0010 1/6	0,17	0,575917	682	
1	 C02	Unknown	Assay	Sce_0010 2/6	0,47	0,509141	750	
1	 C02	Unknown	Assay	Sce_0010 2/6	0,65	0,656417	682	
1	 D02	Unknown	Assay	Sce_0010 3/6	0,95	0,442423	750	
1	 D02	Unknown	Assay	Sce_0010 3/6	1,13	0,562811	682	
1	 E02	Unknown	Assay	Sce_0010 4/6	1,43	0,414389	750	
1	 E02	Unknown	Assay	Sce_0010 4/6	1,6	0,568052	682	
1	 F02	Unknown	Assay	Sce_0010 5/6	1,91	0,458455	750	
1	 F02	Unknown	Assay	Sce_0010 5/6	2,08	0,601897	682	
1	 G02	Unknown	Assay	Sce_0010 6/6	2,38	0,457133	750	
1	 G02	Unknown	Assay	Sce_0010 6/6	2,56	0,599496	682	
1	 B03	Unknown	Assay	Sce_0005 1/6	3,13	0,393233	750	
1	 B03	Unknown	Assay	Sce_0005 1/6	3,31	0,445051	682	
1	 C03	Unknown	Assay	Sce_0005 2/6	3,61	0,371439	750	
1	 C03	Unknown	Assay	Sce_0005 2/6	3,79	0,424038	682	
1	 D03	Unknown	Assay	Sce_0005 3/6	4,09	0,402731	750	
1	 D03	Unknown	Assay	Sce_0005 3/6	4,26	0,460671	682	
1	 E03	Unknown	Assay	Sce_0005 4/6	4,56	0,408908	750	
1	 E03	Unknown	Assay	Sce_0005 4/6	4,74	0,479661	682	
1	 F03	Unknown	Assay	Sce_0005 5/6	5,04	0,477847	750	
1	 F03	Unknown	Assay	Sce_0005 5/6	5,22	0,564092	682	
1	 G03	Unknown	Assay	Sce_0005 6/6	5,52	0,445395	750	
1	 G03	Unknown	Assay	Sce_0005 6/6	5,69	0,522569	682	
1	 B04	Unknown	Assay	Sce_0003 1/6	6,27	0,316858	750	
1	 B04	Unknown	Assay	Sce_0003 1/6	6,44	0,346528	682	
1	 C04	Unknown	Assay	Sce_0003 2/6	6,75	0,30218	750	
1	 C04	Unknown	Assay	Sce_0003 2/6	6,92	0,33517	682	
1	 D04	Unknown	Assay	Sce_0003 3/6	7,22	0,24386	750	
